name,handedness,count,attribute,value
Toby Harrah,R,737,height,72.0
Gary Matthews,R,737,height,74.0
Terry Taylor,R,737,height,73.0
Mario Mendoza,R,737,height,71.0
Larry Hisle,R,737,height,74.0
Randy Nosek,R,737,height,76.0
Dave Engle,R,737,height,75.0
Mark Smith,R,737,height,74.0
Paul Mitchell,R,737,height,73.0
Thurman Munson,R,737,height,71.0
Mike Sadek,R,737,height,69.0
Mark Belanger,R,737,height,73.0
Ron Hunt,R,737,height,72.0
Butch Edge,R,737,height,75.0
Vic Correll,R,737,height,70.0
Jackie Hernandez,R,737,height,71.0
Gary Mielke,R,737,height,75.0
Rick Henninger,R,737,height,78.0
Joe Foy,R,737,height,72.0
Mickey Klutts,R,737,height,71.0
Leroy Stanton,R,737,height,73.0
Rafael Vasquez,R,737,height,72.0
Danny Ainge,R,737,height,76.0
Adolfo Phillips,R,737,height,73.0
Marv Breeding,R,737,height,72.0
Steve Adkins,R,737,height,78.0
Joe Horlen,R,737,height,72.0
Glenn Burke,R,737,height,72.0
Tony Mack,R,737,height,70.0
Terry Humphrey,R,737,height,75.0
Bill Moran,R,737,height,76.0
Enzo Hernandez,R,737,height,68.0
Cesar Gutierrez,R,737,height,69.0
Coco Laboy,R,737,height,70.0
Jim Morrison,R,737,height,71.0
Tom Gilles,R,737,height,73.0
Bobby Knoop,R,737,height,73.0
Tom Paciorek,R,737,height,76.0
Gary Woods,R,737,height,74.0
Bob Montgomery,R,737,height,73.0
Jeff Burroughs,R,737,height,73.0
Bob Kammeyer,R,737,height,76.0
Paul Blair,R,737,height,72.0
Al Cowens,R,737,height,73.0
Dave Hilton,R,737,height,71.0
Luis Alvarado,R,737,height,69.0
Larry Parrish,R,737,height,75.0
Woodie Fryman,R,737,height,75.0
Bob Randall,R,737,height,74.0
Jim Pankovits,R,737,height,70.0
Carmen Fanzone,R,737,height,72.0
Gary Allenson,R,737,height,71.0
Mike Vail,R,737,height,73.0
Nick Esasky,R,737,height,75.0
Chris Cannizzaro,R,737,height,72.0
John Pawlowski,R,737,height,74.0
Mel Stottlemyre,R,737,height,73.0
Jack Hardy,R,737,height,74.0
Ron Musselman,R,737,height,74.0
Tony Chevez,R,737,height,71.0
Andy Messersmith,R,737,height,73.0
Richie Zisk,R,737,height,73.0
Dave Chalk,R,737,height,70.0
Don Baylor,R,737,height,73.0
John Vukovich,R,737,height,73.0
Danny Thompson,R,737,height,72.0
Doug Camilli,R,737,height,71.0
Bruce Bochy,R,737,height,75.0
Gary Ignasiak,R,737,height,71.0
Ken Reitz,R,737,height,72.0
Amos Otis,R,737,height,71.0
Gene Alley,R,737,height,70.0
Ted Sizemore,R,737,height,70.0
Joe Skalski,R,737,height,75.0
Doug Flynn,R,737,height,71.0
Ken Holtzman,R,737,height,74.0
Kevin Bell,R,737,height,72.0
Tom Nieto,R,737,height,73.0
Larvell Blanks,R,737,height,68.0
Francisco Barrios,R,737,height,71.0
Steve Yeager,R,737,height,72.0
Pedro Garcia,R,737,height,70.0
Bob Babcock,R,737,height,77.0
Craig Eaton,R,737,height,71.0
Art Howe,R,737,height,74.0
Ike Brown,R,737,height,72.0
Howie Goss,R,737,height,76.0
Glenn Borgmann,R,737,height,76.0
Lamar Johnson,R,737,height,74.0
Julio Gonzalez,R,737,height,71.0
Bobby Klaus,R,737,height,70.0
Manny Sanguillen,R,737,height,72.0
Jesus Alou,R,737,height,74.0
