name,handedness,height,weight,batting avg,homeruns,count
Davey Lopes,R,69,170,0.263,155,737
Catfish Hunter,R,72,190,0.226,6,737
Mario Soto,R,72,174,0.132,1,737
Jimmy Wynn,R,70,160,0.25,291,737
Hank Allen,R,72,190,0.241,6,737
Jim Fregosi,R,73,190,0.265,151,737
Pepe Frias,R,70,159,0.24,1,737
Mike Schmidt,R,74,195,0.267,548,737
Rey Quinones,R,71,160,0.243,29,737
Chuck Porter,R,75,187,0.0,0,737
Bert Campaneris,R,70,160,0.259,79,737
Bobby Valentine,R,70,189,0.26,12,737
Rob Andrews,R,72,185,0.251,3,737
Tom Dozier,R,74,190,0.0,0,737
Ron Swoboda,R,74,195,0.242,73,737
Bob Barton,R,72,175,0.226,9,737
Joe Torre,R,74,212,0.297,252,737
Al Ferrara,R,73,200,0.259,51,737
Rick Steirer,R,76,200,0.0,0,737
Sixto Lezcano,R,70,165,0.271,148,737
Al Lachowicz,R,75,198,0.0,0,737
Dave Nicholson,R,74,215,0.212,61,737
Freddie Patek,R,65,148,0.242,41,737
Ken Hubbs,R,74,175,0.247,14,737
Pepe Mangual,R,70,157,0.242,16,737
Tom McCarthy,R,72,180,0.0,0,737
Tom Lawless,R,71,170,0.207,2,737
Jerry Moses,R,75,210,0.251,25,737
Bobby Bonds,R,73,190,0.268,332,737
Dave McNally,R,71,185,0.133,9,737
Roy Foster,R,72,185,0.253,45,737
Denis Menke,R,72,185,0.25,101,737
Hal Breeden,R,74,200,0.243,21,737
Manny Trillo,R,73,150,0.263,61,737
Jackie Gutierrez,R,71,175,0.237,4,737
Fred Kendall,R,73,185,0.234,31,737
Mike Anderson,R,74,200,0.246,28,737
Jim Lewis,R,75,190,0.0,0,737
Joe Charboneau,R,74,205,0.266,29,737
Jimmie Schaffer,R,69,170,0.223,11,737
Junior Kennedy,R,71,175,0.248,4,737
Rod Gilbreath,R,74,180,0.248,14,737
Mark Brouhard,R,73,210,0.259,25,737
Chris Speier,R,73,175,0.246,112,737
Mike Fischlin,R,73,165,0.22,3,737
Don Money,R,73,170,0.261,176,737
Joe Rudi,R,74,200,0.264,179,737
Jim Rice,R,74,200,0.298,382,737
Shawn Holman,R,74,185,0.0,0,737
Alan Wirth,R,76,190,0.0,0,737
Gil Garrido,R,69,150,0.237,1,737
Marty Perez,R,71,160,0.246,22,737
Jerry Grote,R,70,185,0.252,39,737
Jim Beauchamp,R,74,190,0.231,14,737
Terry Wilshusen,R,74,210,0.0,0,737
Ron Brand,R,67,167,0.239,3,737
Leo Cardenas,R,71,150,0.257,118,737
Steve Ellsworth,R,80,220,0.0,0,737
Ron Cey,R,70,185,0.261,316,737
Skip Jutze,R,71,190,0.215,3,737
Ron LeFlore,R,72,200,0.28800000000000003,59,737
Bill Russell,R,72,175,0.263,46,737
Gene Tenace,R,72,190,0.241,201,737
Bubba Morton,R,70,175,0.267,14,737
Ellie Rodriguez,R,71,185,0.245,16,737
Bryan Kelly,R,74,195,0.0,0,737
Bill Freehan,R,75,203,0.262,200,737
Steve Nicosia,R,70,185,0.248,11,737
Ted Savage,R,73,185,0.233,34,737
Pete Mackanin,R,74,190,0.226,30,737
Rich Dauer,R,72,180,0.257,43,737
Mick Kelleher,R,69,176,0.213,0,737
Don Sutton,R,73,185,0.14400000000000002,0,737
Glenn Beckert,R,73,190,0.28300000000000003,22,737
Ron Davis,R,72,175,0.233,10,737
Mike Shannon,R,75,195,0.255,68,737
John Leister,R,74,200,0.0,0,737
Don Cooper,R,73,185,0.0,0,737
Ed Romero,R,71,160,0.247,8,737
Rick Joseph,R,73,192,0.243,13,737
Bill Almon,R,75,180,0.254,36,737
Joe Ferguson,R,74,200,0.24,122,737
Jeff Jones,R,75,210,0.0,0,737
Jerry Terrell,R,71,165,0.253,4,737
Jerry Dybzinski,R,74,180,0.234,3,737
Gary Sutherland,R,72,185,0.243,24,737
Bob Coluccio,R,71,183,0.22,26,737
Ron Gardenhire,R,72,175,0.232,4,737
Alan Bannister,R,71,170,0.27,19,737
Bob Watson,R,72,201,0.295,184,737
Ken Harrelson,R,74,190,0.239,131,737
Bobby Wine,R,73,187,0.215,30,737
Stefan Wever,R,80,245,0.0,0,737
John Kennedy,R,72,185,0.225,32,737
Dave Johnson,R,73,183,0.0,0,737
Luis Melendez,R,72,165,0.248,9,737
Bill Plummer,R,73,190,0.188,14,737
Phil Niekro,R,73,180,0.16899999999999998,7,737
Eric Hetzel,R,75,175,0.0,0,737
Ed Charles,R,70,170,0.263,86,737
Luis Gomez,R,69,150,0.21,0,737
Dave Lemanczyk,R,76,235,0.0,0,737
Al Jones,R,76,210,0.0,0,737
Floyd Rayford,R,70,190,0.244,38,737
Sam Hinds,R,78,215,0.0,0,737
Tony Conigliaro,R,75,185,0.264,166,737
Clay Christiansen,R,77,205,0.0,0,737
Jim Barr,R,75,205,0.162,1,737
Frank Duffy,R,73,180,0.232,26,737
Phil Garner,R,70,175,0.26,109,737
Larry Pashnick,R,75,205,0.0,0,737
Todd Fischer,R,70,170,0.0,0,737
Joe Nolan,L,71,175,0.263,27,316
Denny Doyle,L,69,175,0.25,16,316
John LaRose,L,73,185,0.0,0,316
Frank Tepedino,L,71,185,0.241,6,316
Jerry Kutzler,L,73,175,0.0,0,316
Darrell Evans,L,74,200,0.248,414,316
Tommy McCraw,L,72,183,0.246,75,316
Britt Burns,L,77,215,0.0,0,316
Fred Whitfield,L,73,190,0.253,108,316
Jerry Garvin,L,75,195,0.0,0,316
Kevin Mmahat,L,77,220,0.0,0,316
Wayne Garrett,L,71,175,0.239,61,316
Tony Muser,L,74,180,0.259,7,316
Kevin Stanfield,L,72,190,0.0,0,316
Jim Lyttle,L,72,180,0.248,9,316
Scot Thompson,L,75,195,0.262,5,316
Gene Locklear,L,70,165,0.274,9,316
Pat Putnam,L,72,205,0.255,63,316
Bob Fallon,L,75,200,0.0,0,316
Chris Chambliss,L,73,195,0.279,185,316
Tom Satriano,L,73,185,0.225,21,316
Walt Bond,L,79,228,0.256,41,316
Omar Moreno,L,74,180,0.252,37,316
Tony Ferreira,L,73,160,0.0,0,316
Bryan Oelkers,L,75,192,0.0,0,316
Kevin Bearse,L,74,195,0.0,0,316
Bruce Boisclair,L,74,185,0.263,10,316
Jim Fairey,L,70,190,0.235,7,316
Gary Thomasson,L,73,180,0.249,61,316
Floyd Robinson,L,69,175,0.28300000000000003,67,316
Lou Brock,L,71,170,0.293,149,316
Johnny Lewis,L,73,189,0.227,22,316
Ken Boswell,L,72,170,0.248,31,316
Willie Crawford,L,73,197,0.268,86,316
Mike Jones,L,78,215,0.0,0,316
Jeff Stone,L,72,175,0.277,11,316
Joe Lahoud,L,73,198,0.223,65,316
Tim Flannery,L,71,175,0.255,9,316
Zach Crouch,L,75,180,0.0,0,316
Greg Gross,L,70,160,0.287,7,316
Bruce Tanner,L,75,220,0.0,0,316
Jack Brohamer,L,70,165,0.245,30,316
Von Joshua,L,70,170,0.273,30,316
Eddie Milner,L,71,173,0.253,42,316
Tony Oliva,L,73,175,0.304,220,316
Johnny Oates,L,71,188,0.25,14,316
Pat Underwood,L,72,175,0.0,0,316
Mike Phillips,L,72,170,0.24,11,316
Jay Johnstone,L,73,175,0.267,102,316
Joel McKeon,L,72,185,0.0,0,316
Al Bumbry,L,68,170,0.281,54,316
Jake Gibbs,L,72,180,0.233,25,316
Garry Hancock,L,72,175,0.247,12,316
Ed Kranepool,L,75,205,0.261,118,316
Chuck Hiller,L,71,170,0.243,20,316
Jorge Orta,L,70,170,0.278,130,316
Bruce Robbins,L,73,190,0.0,0,316
Tony Gonzalez,L,69,170,0.28600000000000003,103,316
Brian Dubois,L,70,165,0.0,0,316
Steve Whitaker,L,72,180,0.23,24,316
Manny Jimenez,L,73,185,0.272,26,316
Vance Lovelace,L,77,205,0.0,0,316
Wayne Gross,L,74,210,0.233,121,316
Ralph Botting,L,72,195,0.0,0,316
Terry Crowley,L,72,180,0.25,42,316
Tim Harkness,L,74,182,0.235,14,316
Jim French,L,68,180,0.196,5,316
Dave Roberts,L,75,195,0.194,7,316
Jim Mason,L,74,185,0.203,12,316
Willie Smith,L,72,182,0.248,46,316
Leon Durham,L,73,185,0.277,147,316
Dick Phillips,L,72,180,0.229,12,316
Ed Crosby,L,74,175,0.22,0,316
Larry Stahl,L,72,175,0.232,36,316
Jose Cruz,L,72,170,0.284,165,316
Don Mason,L,71,160,0.205,3,316
Jim Umbarger,L,78,200,0.0,0,316
Curt Wardle,L,77,220,0.0,0,316
Duane Walker,L,72,185,0.229,24,316
Rod Carew,L,72,170,0.328,92,316
Rick Manning,L,73,180,0.257,56,316
Israel Sanchez,L,69,170,0.0,0,316
Cesar Geronimo,L,72,165,0.258,51,316
Billy Bryan,L,76,200,0.21600000000000005,41,316
Terry Whitfield,L,73,197,0.281,33,316
Fred Lynn,L,73,185,0.28300000000000003,306,316
Graig Nettles,L,72,180,0.248,390,316
Narciso Elvira,L,70,160,0.0,0,316
Mike Easler,L,72,190,0.293,118,316
Rick Monday,L,75,193,0.264,241,316
Joe Keough,L,72,185,0.246,9,316
Tony Solaita,L,72,210,0.255,50,316
Ed Goodson,L,75,180,0.26,30,316
Len Whitehouse,L,71,175,0.0,0,316
Dick McAuliffe,L,71,176,0.247,197,316
Tom Hutton,L,71,180,0.248,22,316
Ron Hodges,L,73,185,0.24,19,316
Rich Chiles,L,71,170,0.254,6,316
Rusty Staub,L,74,190,0.279,292,316
Jim Norris,L,70,175,0.264,7,316
Oscar Gamble,L,71,160,0.265,200,316
George Vukovich,L,72,198,0.268,27,316
Joe Pactwa,L,71,185,0.0,0,316
Craig Reynolds,L,73,175,0.256,42,316
Al Oliver,L,72,195,0.303,219,316
Sherman Corbett,L,76,205,0.0,0,316
Milt May,L,72,190,0.263,77,316
Jim Nettles,L,72,186,0.22,16,316
Larry Biittner,L,74,205,0.273,29,316
Joe Simpson,L,75,175,0.242,9,316
Bill Fahey,L,72,200,0.241,7,316
Bernie Allen,L,72,175,0.239,73,316
Claudell Washington,L,72,190,0.278,164,316
John Donaldson,L,71,160,0.238,4,316
Mike Smithson,L,80,215,0.0,0,316
John Mayberry,L,75,215,0.253,255,316
Dan Briggs,L,72,180,0.195,12,316
Pete Ward,L,73,185,0.254,98,316
Duke Sims,L,74,197,0.239,100,316
Mike Davis,L,74,175,0.259,91,316
Jerry Reuss,L,77,200,0.16699999999999998,1,316
Danny Goodwin,L,73,195,0.236,13,316
Bob Knepper,L,75,195,0.13699999999999998,6,316
Mickey Rivers,L,70,165,0.295,61,316
Jim Northrup,L,75,190,0.267,153,316
John Hale,L,74,195,0.201,14,316
Reggie Ritter,L,74,195,0.0,0,316
Carl Yastrzemski,L,71,175,0.285,452,316
Gates Brown,L,71,220,0.257,84,316
Ken Landreaux,L,70,165,0.268,91,316
Ray Webster,L,72,185,0.244,17,316
Bobby Mitchell,L,70,170,0.243,3,316
Bruce Bochte,L,75,195,0.282,100,316
Bernie Carbo,L,71,173,0.264,96,316
Vic Davalillo,L,67,150,0.279,36,316
John Lowenstein,L,72,175,0.253,116,316
Joe Hague,L,72,195,0.239,40,316
Bake McBride,L,74,190,0.299,63,316
Ed Herrmann,L,73,195,0.24,80,316
Mike Rochford,L,76,205,0.0,0,316
Bob Molinaro,L,72,190,0.264,14,316
Mike Hegan,L,73,188,0.242,53,316
Angel Moreno,L,69,165,0.0,0,316
Rob Wilfong,L,73,180,0.248,39,316
Randy Wiles,L,73,185,0.0,0,316
John Milner,L,72,185,0.249,131,316
Rich Reese,L,75,185,0.253,52,316
Bill Buckner,L,72,185,0.289,174,316
Jeff Schattinger,L,77,200,0.0,0,316
Darrell Porter,L,72,193,0.247,188,316
Tim Johnson,L,73,170,0.223,0,316
Tim Corcoran,L,71,175,0.27,12,316
Jim Spencer,L,74,195,0.25,146,316
Pete LaCock,L,74,200,0.257,27,316
Matty Alou,L,69,160,0.307,31,316
Jim Dwyer,L,70,165,0.26,77,316
Dalton Jones,L,73,180,0.235,41,316
Clint Hurdle,L,75,195,0.259,32,316
Jeff Twitty,L,74,185,0.0,0,316
Boots Day,L,69,160,0.256,8,316
Don Mincher,L,75,205,0.249,200,316
Jim Gosger,L,71,185,0.226,30,316
Marvell Wynne,L,71,175,0.247,40,316
Dave Marshall,L,73,182,0.246,16,316
Roger Repoz,L,75,190,0.224,82,316
Johnny Briggs,L,73,190,0.253,139,316
Bob Jones,L,74,195,0.221,20,316
Keith Hernandez,L,72,180,0.29600000000000004,162,316
Willie Upshaw,L,72,185,0.262,123,316
Dane Iorg,L,72,180,0.276,14,316
Richie Hebner,L,73,195,0.276,203,316
Gene Richards,L,72,175,0.29,26,316
Al Woods,L,75,190,0.271,35,316
Rudy Law,L,73,165,0.271,18,316
Joel Davis,L,77,205,0.0,0,316
Mike Fiore,L,72,175,0.227,13,316
Bobby Tolan,L,71,170,0.265,86,316
Steve Barr,L,76,200,0.0,0,316
Jose Tartabull,L,71,165,0.261,2,316
Ben Oglivie,L,74,160,0.273,235,316
Duane Kuiper,L,72,175,0.271,1,316
Jerry Narron,L,75,205,0.211,21,316
Ken Retzer,L,72,185,0.264,14,316
Greg Walker,L,75,205,0.26,113,316
Steve Davis,L,73,195,0.0,0,316
Jeff Rineer,L,76,205,0.0,0,316
Reggie Jackson,L,72,195,0.262,563,316
Sonny Jackson,L,69,150,0.251,7,316
Mark Mercer,L,77,220,0.0,0,316
Rich Coggins,L,68,170,0.265,12,316
Mitchell Page,L,74,205,0.266,72,316
Glenn Adams,L,73,180,0.28,34,316
Joe Morgan,L,67,160,0.271,268,316
Lee Thomas,L,74,195,0.255,106,316
John Stephenson,L,71,180,0.21600000000000005,12,316
Doug Clemens,L,72,180,0.229,12,316
Steve Braun,L,70,180,0.271,52,316
Ty Cline,L,72,170,0.238,6,316
Thad Bosley,L,75,175,0.272,20,316
Jimmie Hall,L,72,175,0.254,121,316
Brock Davis,L,70,160,0.26,1,316
Curt Blefary,L,74,195,0.237,112,316
Mack Jones,L,73,180,0.252,133,316
Hosken Powell,L,73,175,0.259,17,316
Dave Stapleton,L,73,185,0.0,0,316
Dan Meyer,L,71,180,0.253,86,316
Jim Holt,L,72,180,0.265,19,316
Gary Christenson,L,77,200,0.0,0,316
Mike Kinnunen,L,73,185,0.0,0,316
Dave Rajsich,L,77,175,0.0,0,316
Bill Voss,L,74,160,0.227,19,316
Wayne Krenchicki,L,73,180,0.266,15,316
Ray Sadecki,L,71,180,0.191,5,316
Len Matuszek,L,74,190,0.234,30,316
Joe Lefebvre,L,70,170,0.258,31,316
Jim Maloney,L,74,190,0.201,7,316
Phil Mankowski,L,72,180,0.264,8,316
Mike Lum,L,72,180,0.247,90,316
Johnny Grubb,L,75,175,0.278,99,316
Mike Pazik,L,74,195,0.0,0,316
Jim Traber,L,72,194,0.227,27,316
Ron Stone,L,74,185,0.241,6,316
Ted Uhlaender,L,74,190,0.263,36,316
Bobby Murcer,L,71,160,0.277,252,316
Mark Souza,L,72,180,0.0,0,316
Rick Jones,L,77,190,0.0,0,316
Steve Kemp,L,72,195,0.278,130,316
Mike Hargrove,L,72,195,0.29,80,316
Steve Hovley,L,70,188,0.258,8,316
Luis Quintana,L,74,175,0.0,0,316
Sam McDowell,L,77,190,0.154,2,316
Pat Kelly,L,73,185,0.264,76,316
Jerry Turner,L,69,180,0.257,45,316
Sandy Valdespino,L,68,170,0.23,7,316
Ken Phelps,L,73,209,0.239,123,316
Brian Snyder,L,75,185,0.0,0,316
Rick Sofield,L,73,195,0.243,9,316
Dave May,L,70,186,0.251,96,316
Willie Aikens,L,75,220,0.271,110,316
Mike Cubbage,L,72,180,0.258,34,316
Merritt Ranew,L,71,170,0.247,8,316
Lyman Bostock,L,73,180,0.311,23,316
Roy Howell,L,73,190,0.261,80,316
Boog Powell,L,76,230,0.266,339,316
Dennis DeBarr,L,74,190,0.0,0,316
Dan Driessen,L,71,187,0.267,153,316
Hal King,L,73,200,0.214,24,316
Ed Ott,L,70,190,0.259,33,316
Ed Hodge,L,74,192,0.0,0,316
Jim Campbell,L,71,175,0.0,0,316
Joe Pepitone,L,74,185,0.258,219,316
Steve Barber,L,72,195,0.115,5,316
Norm Miller,L,70,185,0.238,24,316
Bob Galasso,L,73,205,0.0,0,316
Bob Chance,L,74,196,0.261,24,316
Juan Nieves,L,75,175,0.0,0,316
Rudy Meoli,L,69,165,0.212,2,316
Ruppert Jones,L,70,170,0.25,147,316
Terry Francona,L,73,190,0.274,16,316
Ralph Garr,L,71,185,0.306,75,316
Broderick Perkins,L,70,180,0.271,8,316
Len Gabrielson,L,76,210,0.253,37,316
Johnny Edwards,L,76,220,0.242,81,316
Bruce Ellingsen,L,72,180,0.0,0,316
Gorman Heimueller,L,76,195,0.0,0,316
Clay Dalrymple,L,72,190,0.233,55,316
Carlos May,L,71,200,0.274,90,316
Mike Brumley,L,70,195,0.229,5,316
Al Luplow,L,70,175,0.235,33,316
Willie Stargell,L,74,188,0.282,475,316
Steve Carlton,L,76,210,0.201,13,316
Del Unser,L,73,180,0.258,87,316
Ron Blomberg,L,73,195,0.293,52,316
Willie Montanez,L,72,170,0.275,139,316
Mike Squires,L,71,185,0.26,6,316
Champ Summers,L,74,205,0.255,54,316
Tom Haller,L,76,195,0.257,134,316
Ed Stroud,L,71,180,0.237,14,316
Harry Spilman,L,73,180,0.237,18,316
Daryl Sconiers,L,74,185,0.265,15,316
Leron Lee,L,72,196,0.25,31,316
Willie Davis,L,74,180,0.279,182,316
Jerry Kenney,L,73,170,0.237,7,316
Dan Morogiello,L,73,200,0.0,0,316
Tom Matchick,L,73,173,0.215,4,316
Jack Perconte,L,70,160,0.27,2,316
Ed Kirkpatrick,L,71,195,0.238,85,316
Ellie Hendricks,L,73,175,0.22,62,316
Art Shamsky,L,73,168,0.253,68,316
Dick Nen,L,74,200,0.224,21,316
Rowland Office,L,72,170,0.259,32,316
Rick Leach,L,73,180,0.268,18,316
Dwayne Murphy,L,73,185,0.246,166,316
Larry Harlow,L,74,185,0.248,12,316
Mike Epstein,L,75,230,0.244,130,316
Jason Thompson,L,76,200,0.261,208,316
Mike Jorgensen,L,72,195,0.243,95,316
Cecil Cooper,L,74,165,0.298,241,316
John Poloni,L,77,210,0.0,0,316
Dave Revering,L,76,210,0.265,62,316
Curt Ford,L,70,150,0.245,7,316
Mike Willis,L,74,205,0.0,0,316
Bob Burda,L,71,174,0.224,13,316
Jesse Gonder,L,70,180,0.251,26,316
Dave Rader,L,71,165,0.257,30,316
Bill Sharp,L,70,178,0.255,9,316
Gail Hopkins,L,70,198,0.266,25,316
Doug Frobel,L,76,196,0.201,20,316
Jerry Augustine,L,72,183,0.0,0,316
Jeff Holly,L,77,210,0.0,0,316
Tom Poquette,L,70,175,0.268,10,316
Brian Asselstine,L,73,175,0.254,12,316
Rick Miller,L,72,175,0.269,28,316
Jerry Remy,L,69,165,0.275,7,316
Larry Rothschild,L,74,180,0.0,0,316
Tom O'Malley,L,72,180,0.256,13,316
Fritz Peterson,Both,72,185,0.159,2,104
Jeff Barkley,Both,75,185,0.0,0,104
Pete Rose,Both,71,192,0.303,160,104
Nardi Contreras,Both,74,193,0.0,0,104
Bump Wills,Both,69,172,0.266,36,104
Mickey Lolich,Both,73,170,0.11,0,104
Ray Chadwick,Both,74,180,0.0,0,104
Rusty Torres,Both,70,175,0.212,35,104
Marty Martinez,Both,72,170,0.243,0,104
Ken Singleton,Both,76,210,0.282,246,104
Tony Scott,Both,72,164,0.249,17,104
Steve Jeltz,Both,71,180,0.21,5,104
Joe Lovitto,Both,72,185,0.21600000000000005,4,104
Dave Collins,Both,71,175,0.272,32,104
Randy Scarbery,Both,73,185,0.0,0,104
Manny Castillo,Both,69,160,0.242,3,104
Mike Ramsey,Both,73,170,0.24,2,104
Dave McKay,Both,73,195,0.229,21,104
Barry Raziano,Both,70,175,0.0,0,104
Bob Didier,Both,72,190,0.229,0,104
Billy Smith,Both,74,185,0.23,17,104
Jim Lefebvre,Both,72,180,0.251,74,104
Ken Henderson,Both,74,180,0.257,122,104
Horace Clarke,Both,69,170,0.256,27,104
Jerry White,Both,70,164,0.253,21,104
Paul Householder,Both,72,180,0.236,29,104
Jimmy Stewart,Both,72,165,0.237,8,104
Rafael Landestoy,Both,70,165,0.237,4,104
Steve Burke,Both,74,200,0.0,0,104
Rick Sweet,Both,73,200,0.234,6,104
U L Washington,Both,71,175,0.251,27,104
Mark Brown,Both,74,190,0.0,0,104
Ted Kubiak,Both,72,175,0.231,13,104
Bobby Brown,Both,74,190,0.245,26,104
Lafayette Currence,Both,71,175,0.0,0,104
Roy Smalley,Both,73,185,0.257,163,104
Bert Bradley,Both,73,190,0.0,0,104
Bud Harrelson,Both,71,160,0.236,7,104
Derrel Thomas,Both,72,160,0.249,43,104
Johnny Ray,Both,71,170,0.29,53,104
Billy North,Both,71,185,0.261,20,104
Roger Metzger,Both,72,165,0.231,5,104
Fred Norman,Both,68,155,0.125,0,104
Chuck Hockenbery,Both,73,195,0.0,0,104
Steve Huntz,Both,73,204,0.206,16,104
Don Kessinger,Both,73,170,0.252,14,104
Richie Scheinblum,Both,73,180,0.263,13,104
Jeff Schneider,Both,75,195,0.0,0,104
Vida Blue,Both,72,189,0.104,4,104
Albert Hall,Both,71,155,0.251,5,104
Chris Bando,Both,72,195,0.227,27,104
Larry Lintz,Both,69,150,0.227,0,104
Jerry Hairston,Both,70,170,0.258,30,104
Larry Bowa,Both,70,155,0.26,15,104
Pete Filson,Both,74,195,0.0,0,104
Steve Cummings,Both,74,200,0.0,0,104
Bob Veale,Both,78,212,0.114,0,104
Bob Stinson,Both,71,180,0.25,33,104
Sandy Alomar,Both,69,140,0.245,13,104
Miguel Dilone,Both,72,160,0.265,6,104
Don Buford,Both,67,160,0.264,93,104
Rodney Scott,Both,72,160,0.236,3,104
Larry Milbourne,Both,72,161,0.254,11,104
Bill Sudakis,Both,73,190,0.234,59,104
Ron Oester,Both,74,185,0.265,42,104
R.J. Reynolds,Both,72,190,0.267,35,104
Paul Popovich,Both,72,175,0.233,14,104
Buddy Biancalana,Both,71,160,0.205,6,104
Wallace Johnson,Both,72,173,0.255,5,104
Tom Tresh,Both,73,180,0.245,153,104
Ron Roenicke,Both,72,180,0.238,17,104
Biff Pocoroba,Both,70,175,0.257,21,104
Joaquin Andujar,Both,72,170,0.127,5,104
Bob Meacham,Both,73,175,0.236,8,104
George Wright,Both,71,180,0.245,42,104
Len Randle,Both,70,169,0.257,27,104
Bryan Little,Both,70,160,0.245,3,104
Rick Peters,Both,69,170,0.277,2,104
Ted Simmons,Both,71,193,0.285,248,104
John Bohnet,Both,72,175,0.0,0,104
Al Weis,Both,72,160,0.219,7,104
Joe Wallis,Both,71,180,0.244,16,104
Alan Wiggins,Both,74,160,0.259,5,104
Julio Cruz,Both,69,165,0.237,23,104
Wes Parker,Both,73,180,0.267,64,104
Reggie Smith,Both,72,180,0.287,314,104
Roy White,Both,70,160,0.271,160,104
Lee Mazzilli,Both,73,180,0.259,93,104
Alan Ashby,Both,74,185,0.245,90,104
Tim Blackwell,Both,71,170,0.228,6,104
Steve Ontiveros,Both,72,185,0.274,24,104
Darrell Brown,Both,72,184,0.274,1,104
Wilbur Howard,Both,74,170,0.25,6,104
Mike Young,Both,74,195,0.247,72,104
Gene Michael,Both,74,183,0.229,15,104
Vic Harris,Both,71,165,0.217,13,104
Tito Fuentes,Both,71,175,0.268,45,104
Butch Wynegar,Both,73,190,0.255,65,104
Darrel Chaney,Both,74,188,0.217,14,104
Jerry Mumphrey,Both,74,185,0.289,70,104
Wayne Tolleson,Both,69,160,0.241,9,104
Chico Ruiz,Both,72,169,0.24,2,104
Buck Rodgers,Both,74,190,0.232,31,104
Gary Lance,Both,75,195,0.0,0,104
